gender,age,education,radio,newspaper,tv,internet
0,77,4,7,7,7,0
0,59,7,5,7,7,5
0,61,2,0,0,4,0
1,75,6,6,6,6,0
0,16,3,3,1,1,1
1,13,1,0,0,1,1
1,84,4,2,3,7,6
0,73,1,0,6,6,6
1,13,2,0,0,0,0
1,74,4,7,6,6,0
1,68,6,7,6,7,0
1,22,4,0,0,1,0
0,74,3,5,7,5,2
1,71,2,5,0,7,7
1,66,,0,5,1,7
0,19,6,2,4,0,0
0,59,2,7,0,3,7
0,52,2,1,4,3,0
1,74,2,0,0,6,0
1,36,5,7,4,4,6
1,21,4,5,7,7,0
1,64,2,0,0,7,7
0,52,5,7,1,2,7
0,36,5,0,1,5,0
0,68,4,0,0,7,2
0,76,2,0,6,3,0
1,53,4,5,5,0,0
1,13,1,0,1,0,0
0,13,2,3,0,4,3
1,43,3,5,0,5,5
1,49,6,5,6,7,2
0,36,4,7,0,1,4
0,21,4,0,5,1,2
1,66,2,0,0,0,0
0,61,1,0,0,0,5
0,68,2,2,6,7,0
0,60,3,5,0,5,3
1,45,6,0,5,4,1
0,35,7,0,5,7,7
0,45,5,4,6,5,2
1,62,2,7,0,7,0
1,50,6,0,1,6,5
0,41,4,5,4,2,7
1,13,3,0,0,2,0
1,45,6,5,6,7,6
0,46,4,4,0,3,3
0,48,4,0,0,6,7
0,20,6,0,2,7,7
0,22,5,3,0,3,0
0,56,2,1,6,6,3
1,25,6,0,6,5,7
1,55,2,7,1,7,2
0,68,3,5,0,7,0
0,21,4,0,0,7,0
1,20,4,3,2,1,0
1,15,5,5,0,5,0
1,68,4,5,6,5,0
0,43,2,0,1,1,0
1,33,6,0,0,3,7
1,56,4,6,6,6,3
0,13,3,0,0,0,0
0,47,2,0,0,7,0
0,39,4,7,3,3,0
1,22,3,0,0,0,0
1,51,4,5,0,2,2
1,54,4,7,6,5,7
1,54,6,1,0,7,5
0,73,4,5,0,7,0
1,69,6,0,7,4,0
1,72,6,2,6,7,5
1,61,2,4,6,2,4
0,36,4,5,6,7,2
1,54,4,0,0,4,0
0,34,4,5,0,1,0
1,21,4,5,0,2,0
1,17,2,0,0,0,0
0,74,6,0,0,7,0
0,51,6,0,6,6,0
1,46,5,1,6,6,5
1,17,2,2,0,6,2
1,75,6,7,6,7,7
1,43,4,0,6,6,0
1,63,7,0,5,7,7
1,63,2,7,5,4,0
0,18,2,0,0,0,0
0,35,7,3,6,5,5
1,72,3,0,6,6,0
1,54,6,5,6,6,4
0,31,7,5,0,0,5
0,33,4,4,0,7,0
0,13,1,0,0,0,3
1,41,7,7,6,1,4
1,33,4,0,0,0,0
0,44,3,5,0,4,0
0,33,4,6,0,5,0
0,53,4,5,6,7,5
0,59,3,0,7,6,0
1,43,7,5,6,5,6
0,30,4,0,6,1,0
0,28,7,0,0,5,7
0,34,4,7,4,0,7
1,49,2,2,0,3,3
1,66,6,6,6,4,4
0,64,3,6,6,6,0
0,33,4,0,0,0,0
0,70,,5,6,7,0
1,69,4,7,1,7,2
1,70,6,7,6,6,0
1,14,1,4,0,2,0
0,59,6,1,1,7,6
0,31,7,4,0,2,3
0,66,2,3,6,7,1
0,53,2,5,0,4,0
0,69,6,0,0,5,0
0,69,3,7,6,4,1
1,63,4,7,6,6,0
1,35,4,1,0,1,7
0,81,2,1,6,4,5
0,63,4,7,6,6,0
1,70,3,6,6,5,7
1,65,2,5,6,4,0
1,73,4,0,6,4,1
0,66,5,7,7,7,7
0,50,4,0,0,0,0
0,66,4,2,6,6,2
0,75,3,4,7,5,0
1,27,3,7,0,5,7
1,75,6,7,0,7,2
1,62,2,7,0,5,0
1,68,4,7,0,3,6
1,66,6,7,7,7,7
1,56,7,1,6,7,6
0,38,3,3,0,5,0
0,60,2,5,0,7,7
0,63,3,5,7,7,0
1,81,1,7,0,4,6
0,68,2,3,1,6,3
0,37,4,0,6,2,0
0,39,4,5,0,6,7
0,65,3,7,6,6,6
1,71,6,0,0,7,7
0,23,4,2,0,0,0
0,43,2,5,5,5,0
0,79,1,0,7,7,0
0,48,2,2,0,3,1
0,13,3,0,0,1,0
1,29,6,3,6,7,0
0,40,7,0,3,6,6
1,38,6,5,6,7,5
0,26,7,0,0,2,7
1,31,7,5,5,0,3
0,32,7,7,5,7,0
0,35,7,7,7,7,0
1,70,7,7,6,7,0
1,39,2,3,0,7,2
1,36,6,0,0,0,4
0,39,4,4,2,1,0
1,63,4,7,6,7,0
0,77,1,5,0,5,0
0,65,7,4,0,0,0
0,32,6,5,5,0,2
1,15,3,0,0,3,1
0,61,2,3,0,3,0
1,22,2,1,0,2,0
1,29,6,5,0,0,7
0,48,4,0,6,6,0
1,73,2,6,6,7,0
0,63,4,4,6,7,0
0,27,7,0,0,7,7
1,70,6,0,7,7,1
1,76,3,7,0,6,0
1,57,2,5,2,5,3
0,18,4,5,0,0,0
0,48,3,2,0,4,1
1,76,5,2,6,7,4
1,71,6,3,6,6,0
1,53,5,7,2,5,4
0,49,4,0,0,7,5
1,68,2,7,6,3,0
0,68,4,5,6,6,0
1,70,2,4,6,4,0
1,65,4,5,7,7,2
1,35,4,7,0,4,0
1,32,4,5,6,5,7
1,71,4,3,0,7,1
0,62,2,2,3,5,0
1,66,4,5,6,6,4
1,18,5,0,0,0,0
0,35,4,5,0,2,3
0,65,3,0,0,1,7
1,69,4,7,6,7,2
1,41,2,7,2,0,0
1,38,6,7,0,7,4
