,wijk,stadsdeel,code,year,woz-waarde
364,IJburg-West,Oost,M35,2017,366179.0
365,IJburg-Zuid,Oost,M51,2017,352869.0
366,Frankendael,Oost,M55,2017,274148.0
367,Middenmeer,Oost,M56,2017,356020.0
368,Betondorp,Oost,M57,2017,230751.0
369,De Omval/Overamstel,Oost,M58,2017,186082.0
370,Volewijck,Noord,N60,2017,184154.0
371,IJplein/Vogelbuurt,Noord,N61,2017,197581.0
372,Tuindorp Nieuwendam,Noord,N62,2017,204509.0
373,Tuindorp Buiksloot,Noord,N63,2017,194104.0
374,Nieuwendammerdijk/Buiksloterdijk,Noord,N64,2017,439019.0
375,Tuindorp Oostzaan,Noord,N65,2017,202216.0
376,Oostzanerwerf,Noord,N66,2017,213785.0
377,Kadoelen,Noord,N67,2017,299298.0
378,Waterlandpleinbuurt,Noord,N68,2017,191231.0
379,Buikslotermeer,Noord,N69,2017,177380.0
380,Banne Buiksloot,Noord,N70,2017,191675.0
381,Noordelijke IJ-oevers-West,Noord,N71,2017,243183.0
382,Noordelijke IJ-oevers-Oost,Noord,N72,2017,168528.0
383,Waterland,Noord,N73,2017,480514.0
384,Elzenhagen,Noord,N74,2017,322014.0
385,Amstel III/Bullewijk,Zuidoost,T92,2017,78137.0
386,"Bijlmer-Centrum (D,F,H)",Zuidoost,T93,2017,135944.0
387,"Bijlmer-Oost (E,G,K)",Zuidoost,T94,2017,156291.0
388,Nellestein,Zuidoost,T95,2017,140373.0
389,Holendrecht/Reigersbos,Zuidoost,T96,2017,153254.0
390,Gein,Zuidoost,T97,2017,176573.0
391,Driemond,Zuidoost,T98,2017,251670.0
392,Burgwallen-Oude Zijde,Centrum,A00,2018,400010.0
393,Burgwallen-Nieuwe Zijde,Centrum,A01,2018,391011.0
394,Grachtengordel-West,Centrum,A02,2018,755091.0
395,Grachtengordel-Zuid,Centrum,A03,2018,697576.0
396,Nieuwmarkt/Lastage,Centrum,A04,2018,438942.0
397,Haarlemmerbuurt,Centrum,A05,2018,458522.0
398,Jordaan,Centrum,A06,2018,402186.0
